Year,Slogan,Candidate,NameIncluded,Rhymes,Party,Won,Unique,Same,America
1940,Better A Third Term,Franklin D. Roosevelt,N,N,Democrat,Y,0,0,0
1940,No Fourth Term Either,Wendell L. Willkie,N,N,Republican,N,0,0,0
1940,Roosevelt for Ex-President,Wendell L. Willkie,N,N,Republican,N,0,0,0
1940,There's No Indispensable Man,Wendell L. Willkie,N,N,Republican,N,0,0,0
1940,We Want Willkie,Wendell L. Willkie,Y,N,Republican,N,0,0,0
1940,Win with Willkie,Wendell L. Willkie,Y,N,Republican,N,0,0,0
1940,Learn to Say President Willkie,Wendell L. Willkie,Y,N,Republican,N,0,0,0
1940,Life begins in '40,Wendell L. Willkie,N,N,Republican,N,0,0,0
1944,Don't swap horses in midstream,Franklin D. Roosevelt,N,N,Democrat,Y,0,1,0
1944,We are going to win this war and the peace that follows,Franklin D. Roosevelt,N,N,Democrat,Y,0,0,0
1944,Win the War Quicker with Dewey and Bricker,Thomas E. Dewey,Y,Y,Republican,N,0,0,0
1948,I'm just wild about Harry,Harry S. Truman,Y,N,Democrat,Y,0,0,0
1948,"Pour it on 'em, Harry!",Harry S. Truman,Y,N,Democrat,Y,0,0,0
1948,"Give 'em Hell, Harry!",Harry S. Truman,Y,N,Democrat,Y,0,0,0
1948,The Buck Stops Here,Harry S. Truman,N,N,Democrat,Y,0,0,0
1952,All the Way with Adlai,Adlai Stevenson,Y,Y,Democrat,N,0,1,0
1952,Madly for Adlai,Adlai Stevenson,Y,Y,Democrat,N,0,0,0
1952,You Never Had It So Good,Adlai Stevenson,N,N,Democrat,N,0,0,0
1952,I like Ike,Dwight D. Eisenhower,Y,Y,Republican,Y,0,0,0
1952,"Korea, Communism, Corruption",Dwight D. Eisenhower,N,N,Republican,Y,1,0,0
1956,I still like Ike,Dwight D. Eisenhower,Y,Y,Republican,Y,0,0,0
1956,Peace and Prosperity,Dwight D. Eisenhower,N,N,Republican,Y,0,0,0
1960,All the Way with JFK,John F. Kennedy,Y,Y,Democrat,Y,0,1,0
1960,A time for greatness,John F. Kennedy,N,N,Democrat,Y,0,0,0
1960,We Can Do Better,John F. Kennedy,N,N,Democrat,Y,0,0,0
1960,Let's Get America Moving Again,John F. Kennedy,N,N,Democrat,Y,0,0,1
1960,The New Frontier,John F. Kennedy,N,N,Democrat,Y,0,0,0
1960,Peace without Surrender,Richard Nixon,N,N,Republican,N,0,0,0
1960,They Understand What Peace Demands,Richard Nixon,N,N,Republican,N,0,0,0
1964,"In Your Heart, You Know He's Right",Barry Goldwater,N,N,Republican,N,0,0,0
1964,America Needs A Change,Barry Goldwater,N,N,Republican,N,0,1,1
1964,The Best Man For The Job,Barry Goldwater,N,N,Republican,N,0,0,0
1964,"We Want a Choice, Not an Echo",Barry Goldwater,N,N,Republican,N,0,0,0
1964,All the way with LBJ,Lyndon B. Johnson,Y,Y,Democrat,Y,0,1,0
1964,"In Your Guts, You Know He's Nuts",Lyndon B. Johnson,N,Y,Democrat,Y,0,0,0
1968,To Begin Anew,Gene McCarthy,N,N,Democrat,N,0,0,0
1968,Stand Up For America,George Wallace,N,N,American Independent,N,0,0,1
1968,"Some People Talk Change, Others Cause It",Hubert Humphrey,N,N,Democrat,N,0,0,0
1968,Who But Hubert?,Hubert Humphrey,Y,N,Democrat,N,0,1,0
1968,A Winning Team,Humphrey Muskie,N,N,Democrat,N,0,0,0
1968,"This time, vote like your whole world depended on it",Richard Nixon,N,N,Republican,Y,0,0,0
1968,Nixon's the One,Richard Nixon,N,N,Republican,Y,0,0,0
1972,Come Home America,George McGovern,N,N,Republican,Y,0,0,1
1972,Nixon Now,Richard Nixon,Y,N,Republican,Y,0,0,0
1972,"Nixon Now, More than Ever",Richard Nixon,Y,N,Republican,Y,0,0,0
1976,"Peace, Prosperity and the Public Trust",Gerald Ford,N,N,Republican,N,0,0,0
1976,He's making us proud again,Gerald Ford,N,N,Republican,N,0,0,0
1976,Experience Counts,Gerald Ford,N,N,Republican,N,0,0,0
1976,The Man Who Made Us Proud Again,Gerald Ford,N,N,Republican,N,0,0,0
1976,Not Just Peanuts,Jimmy Carter,N,N,Democrat,Y,0,0,0
1976,"A Leader, For a Change",Jimmy Carter,N,N,Democrat,Y,0,0,0
1976,Return Integrity to the White House,Jimmy Carter,N,N,Democrat,Y,0,0,0
1976,Vote Gritz and Fritz in '76,Jimmy Carter,N,N,Democrat,Y,0,0,0
1980,A Solid Man in a Sensitive Job,Jimmy Carter,N,N,Democrat,N,0,0,0
1980,Are You Better Off Than You Were Four Years Ago?,Ronald Reagan,N,N,Republican,Y,0,0,0
1980,Let's Make America Great Again,Ronald Reagan,N,N,Republican,Y,0,1,1
1980,The Time Is Now,Ronald Reagan,N,N,Republican,Y,0,0,0
1984,It's Morning Again in America,Ronald Reagan,N,N,Republican,Y,0,0,0
1984,"America Is Back, Standing Tall",Ronald Reagan,N,N,Republican,Y,0,0,1
1984,Where's the Beef?,Walter Mondale,N,N,Democrat,N,0,0,0
1984,America Needs A Change,Walter Mondale,N,N,Democrat,N,0,1,1
1988,"Kinder, Gentler Nation",George H. W. Bush,N,N,Republican,Y,1,0,0
1988,"Read My Lips, No New Taxes",George H. W. Bush,N,N,Republican,Y,0,0,0
1988,The Next Frontier,Michael Dukakis,N,N,Democrat,N,0,0,0
1992,"For People, for a Change",Bill Clinton,N,N,Democrat,Y,0,0,0
1992,"It's The Economy, Stupid",Bill Clinton,N,N,Democrat,Y,0,0,0
1992,It's Time to Change America,Bill Clinton,N,N,Democrat,Y,0,0,1
1992,Putting People First,Bill Clinton,N,N,Democrat,Y,0,0,0
1992,Don’t stop thinking about tomorrow,Bill Clinton,N,N,Democrat,Y,0,0,0
1992,Ross for Boss,Ross Perot,Y,Y,Indepedent,N,0,0,0
1996,Building a bridge to the twenty-first century,Bill Clinton,N,N,Democrat,Y,0,0,0
1996,A Better Man for a Better America,Bob Dole,N,N,Republican,N,0,0,1
2000,Leadership for the New Millennium,Al Gore,N,N,Democrat,N,0,0,0
2000,Prosperity and Progress,Al Gore,N,N,Democrat,N,0,0,0
2000,Compassionate Conservatism,George W. Bush,N,N,Republican,Y,0,0,0
2000,Leave No Child Behind,George W. Bush,N,N,Republican,Y,1,0,0
2004,A Safer World and a More Hopeful America,George W. Bush,N,N,Republican,Y,0,0,1
2004,"Yes, America can",George W. Bush,N,N,Republican,Y,0,0,1
2004,Dean for America,Howard Dean,Y,N,Democrat,N,0,1,1
2004,A Stronger America,John Kerry,N,N,Democrat,N,0,0,1
2004,Let America Be America Again,John Kerry,N,N,Democrat,N,0,0,1
2008,Yes We Can,Barack Obama,N,N,Democrat,Y,0,0,0
2008,Change We Can Believe In.,Barack Obama,N,N,Democrat,Y,0,0,0
2008,Change.,Barack Obama,N,N,Democrat,Y,0,0,0
2008,Change We Need.,Barack Obama,N,N,Democrat,Y,0,0,0
2008,Fired up! Ready to go!,Barack Obama,N,N,Democrat,Y,0,0,0
2008,Hope,Barack Obama,N,N,Democrat,Y,0,0,0
2008,"Ready for change, ready to lead",Hillary Clinton,N,N,Democrat,N,0,0,0
2008,In to Win,Hillary Clinton,N,Y,Democrat,N,0,0,0
2008,"Working for Change, Working for You",Hillary Clinton,N,N,Democrat,N,0,0,0
2008,The strength and experience to make change happen,Hillary Clinton,N,N,Democrat,N,0,0,0
2008,"Big Challenges, Real Solutions: Time to Pick a President",Hillary Clinton,N,N,Democrat,N,0,0,0
2008,Country First,John McCain,N,N,Republican,N,0,0,0
2008,"Reform, prosperity and peace",John McCain,N,N,Republican,N,0,0,0
2008,"People Fighting Back, or We'll fight back",Ralph Nader,N,N,Green,N,0,0,0
2012,Forward,Barack Obama,N,N,Democrat,Y,1,0,0
2012,The People's President,Gary Johnson,N,N,Libertarian,N,0,0,0
